model,run,spearman_rho
S5_L10,0,-0.096582
S5_L10,1,0.032044
S5_L10,2,0.035043
S5_L10,3,-0.047366
S5_L10,4,-0.017972
S5_L10,5,-0.069362
S5_L10,6,-0.057616
S5_L10,7,-0.070347
S5_L10,8,-0.048991
S5_L10,9,-0.064802
S5_L10,10,-0.085287
S5_L10,11,-0.090248
S5_L10,12,-0.014864
S5_L10,13,-0.056720
S5_L10,14,-0.008235
S5_L10,15,-0.092155
S5_L10,16,-0.083863
S5_L10,17,-0.092486
S5_L10,18,0.131369
S5_L10,19,-0.085822
S5_L10,20,-0.107495
S5_L10,21,-0.105512
S5_L10,22,-0.091619
S5_L10,23,0.087032
S5_L10,24,-0.050550
S5_L10,25,-0.006869
S5_L10,26,-0.078350
S5_L10,27,0.036917
S5_L10,28,-0.060112
S5_L10,29,-0.053869
S5_L10,30,0.024296
S5_L10,31,-0.091459
S5_L10,32,-0.056510
S5_L10,33,-0.065733
S5_L10,34,-0.000689
S5_L10,35,-0.014680
S5_L10,36,-0.135125
S5_L10,37,-0.092009
S5_L10,38,-0.035061
S5_L10,39,-0.045046
S5_L50,0,-0.080888
S5_L50,1,0.023808
S5_L50,2,-0.020286
S5_L50,3,-0.055264
S5_L50,4,0.116637
S5_L50,5,-0.050956
S5_L50,6,-0.092475
S5_L50,7,-0.036339
S5_L50,8,-0.065750
S5_L50,9,-0.100560
S5_L50,10,-0.014899
S5_L50,11,-0.095924
S5_L50,12,-0.043547
S5_L50,13,-0.040908
S5_L50,14,-0.090135
S5_L50,15,-0.012769
S5_L50,16,-0.078319
S5_L50,17,-0.018835
S5_L50,18,-0.099438
S5_L50,19,0.150464
S5_L50,20,-0.060483
S5_L50,21,0.036562
S5_L50,22,-0.032963
S5_L50,23,-0.025384
S5_L50,24,-0.002836
S5_L50,25,-0.074668
S5_L50,26,-0.085962
S5_L50,27,0.096499
S5_L50,28,-0.049006
S5_L50,29,-0.054641
S5_L50,30,-0.051140
S5_L50,31,0.038789
S5_L50,32,0.019533
S5_L50,33,0.045981
S5_L50,34,-0.091429
S5_L50,35,-0.048974
S5_L50,36,-0.031251
S5_L50,37,-0.029195
S5_L50,38,0.109169
S5_L50,39,0.005098
S5_L100,0,0.004988
S5_L100,1,0.122602
S5_L100,2,-0.126162
S5_L100,3,0.004049
S5_L100,4,-0.025081
S5_L100,5,-0.050740
S5_L100,6,-0.089160
S5_L100,7,-0.050853
S5_L100,8,-0.052401
S5_L100,9,-0.065041
S5_L100,10,0.048032
S5_L100,11,-0.015750
S5_L100,12,-0.045339
S5_L100,13,0.026484
S5_L100,14,-0.072860
S5_L100,15,-0.084887
S5_L100,16,-0.057517
S5_L100,17,-0.055766
S5_L100,18,0.100987
S5_L100,19,-0.078831
S5_L100,20,-0.061394
S5_L100,21,-0.071324
S5_L100,22,-0.049879
S5_L100,23,-0.006286
S5_L100,24,-0.059044
S5_L100,25,-0.063392
S5_L100,26,-0.069510
S5_L100,27,-0.022015
S5_L100,28,-0.016460
S5_L100,29,-0.018817
S5_L100,30,0.025143
S5_L100,31,-0.081888
S5_L100,32,-0.058533
S5_L100,33,-0.005473
S5_L100,34,0.024187
S5_L100,35,-0.003290
S5_L100,36,-0.036539
S5_L100,37,-0.054490
S5_L100,38,0.018604
S5_L100,39,-0.006217
S5_L500,0,-0.001841
S5_L500,1,0.042829
S5_L500,2,0.013075
S5_L500,3,0.034132
S5_L500,4,0.055649
S5_L500,5,-0.012606
S5_L500,6,0.053069
S5_L500,7,-0.038829
S5_L500,8,0.050531
S5_L500,9,0.029753
S5_L500,10,-0.009668
S5_L500,11,0.038318
S5_L500,12,-0.031277
S5_L500,13,0.039576
S5_L500,14,-0.020189
S5_L500,15,0.018564
S5_L500,16,0.011858
S5_L500,17,-0.002339
S5_L500,18,0.047215
S5_L500,19,0.033190
S5_L500,20,-0.029544
S5_L500,21,0.067900
S5_L500,22,-0.010664
S5_L500,23,-0.014952
S5_L500,24,0.029499
S5_L500,25,-0.091728
S5_L500,26,-0.066888
S5_L500,27,-0.047308
S5_L500,28,0.077992
S5_L500,29,-0.051587
S5_L500,30,-0.008815
S5_L500,31,0.129353
S5_L500,32,0.073429
S5_L500,33,-0.024782
S5_L500,34,-0.025745
S5_L500,35,0.007310
S5_L500,36,0.002924
S5_L500,37,0.016170
S5_L500,38,0.024734
S5_L500,39,0.029522
