model,run,spearman_rho
S4_L10,0,0.019414
S4_L10,1,0.028402
S4_L10,2,0.052266
S4_L10,3,0.032380
S4_L10,4,0.068254
S4_L10,5,0.011273
S4_L10,6,0.020160
S4_L10,7,0.000771
S4_L10,8,0.014640
S4_L10,9,0.085791
S4_L10,10,0.062787
S4_L10,11,0.040666
S4_L10,12,0.043943
S4_L10,13,0.043637
S4_L10,14,0.069086
S4_L10,15,-0.011732
S4_L10,16,0.040152
S4_L10,17,0.062484
S4_L10,18,0.051822
S4_L10,19,0.028300
S4_L10,20,0.080509
S4_L10,21,0.038440
S4_L10,22,0.046609
S4_L10,23,0.012609
S4_L10,24,0.054963
S4_L10,25,0.048955
S4_L10,26,0.026400
S4_L10,27,-0.006260
S4_L10,28,0.038772
S4_L10,29,0.065820
S4_L10,30,0.045423
S4_L10,31,0.041183
S4_L10,32,0.059685
S4_L10,33,-0.010691
S4_L10,34,0.053672
S4_L10,35,-0.009268
S4_L10,36,0.035793
S4_L10,37,0.083289
S4_L10,38,0.074981
S4_L10,39,0.008890
S4_L50,0,0.032718
S4_L50,1,0.034000
S4_L50,2,0.011961
S4_L50,3,0.031209
S4_L50,4,0.083779
S4_L50,5,0.078701
S4_L50,6,0.033144
S4_L50,7,0.119177
S4_L50,8,0.090291
S4_L50,9,0.001986
S4_L50,10,0.056209
S4_L50,11,0.036569
S4_L50,12,0.003475
S4_L50,13,-0.011747
S4_L50,14,-0.037217
S4_L50,15,0.070530
S4_L50,16,0.016732
S4_L50,17,0.045167
S4_L50,18,0.087441
S4_L50,19,0.010252
S4_L50,20,0.006915
S4_L50,21,0.024788
S4_L50,22,0.078111
S4_L50,23,0.058591
S4_L50,24,0.060299
S4_L50,25,0.003326
S4_L50,26,0.045333
S4_L50,27,0.027707
S4_L50,28,-0.005546
S4_L50,29,0.083515
S4_L50,30,-0.034417
S4_L50,31,0.055405
S4_L50,32,0.068603
S4_L50,33,0.038482
S4_L50,34,0.017854
S4_L50,35,0.009452
S4_L50,36,0.027096
S4_L50,37,-0.015877
S4_L50,38,0.026987
S4_L50,39,0.042749
S4_L100,0,0.055188
S4_L100,1,0.012138
S4_L100,2,0.067337
S4_L100,3,0.070755
S4_L100,4,0.051267
S4_L100,5,0.093294
S4_L100,6,0.111224
S4_L100,7,0.017030
S4_L100,8,0.112095
S4_L100,9,0.025467
S4_L100,10,0.009885
S4_L100,11,0.078144
S4_L100,12,0.041690
S4_L100,13,-0.015361
S4_L100,14,0.079483
S4_L100,15,-0.074421
S4_L100,16,0.037315
S4_L100,17,0.015120
S4_L100,18,-0.020794
S4_L100,19,0.060381
S4_L100,20,0.025835
S4_L100,21,0.075775
S4_L100,22,-0.018240
S4_L100,23,0.034612
S4_L100,24,0.062367
S4_L100,25,-0.023894
S4_L100,26,-0.017007
S4_L100,27,0.102981
S4_L100,28,-0.014389
S4_L100,29,-0.050990
S4_L100,30,0.052241
S4_L100,31,-0.056777
S4_L100,32,0.040526
S4_L100,33,0.085688
S4_L100,34,-0.023816
S4_L100,35,0.095239
S4_L100,36,-0.034165
S4_L100,37,-0.043747
S4_L100,38,0.023494
S4_L100,39,0.020401
S4_L500,0,0.015420
S4_L500,1,-0.090486
S4_L500,2,-0.032937
S4_L500,3,0.004722
S4_L500,4,-0.020994
S4_L500,5,0.020153
S4_L500,6,0.020486
S4_L500,7,0.125007
S4_L500,8,-0.020811
S4_L500,9,-0.003087
S4_L500,10,0.115811
S4_L500,11,0.013611
S4_L500,12,0.016875
S4_L500,13,0.156003
S4_L500,14,0.023525
S4_L500,15,0.045481
S4_L500,16,0.138656
S4_L500,17,0.053706
S4_L500,18,0.120418
S4_L500,19,-0.096554
S4_L500,20,-0.079213
S4_L500,21,0.074317
S4_L500,22,0.080286
S4_L500,23,0.094030
S4_L500,24,0.053368
S4_L500,25,0.111969
S4_L500,26,0.019124
S4_L500,27,-0.036800
S4_L500,28,-0.059675
S4_L500,29,0.122825
S4_L500,30,0.018849
S4_L500,31,-0.063207
S4_L500,32,-0.030308
S4_L500,33,-0.076359
S4_L500,34,-0.050477
S4_L500,35,0.093892
S4_L500,36,-0.008343
S4_L500,37,0.035149
S4_L500,38,0.057190
S4_L500,39,0.032789
