model,N,run,spearman_rho,dR
True,10000,0,-0.091408,-6.762264
True,10000,1,0.119870,5.106374
True,10000,2,0.054720,1.890102
True,10000,3,-0.003440,0.609592
True,10000,4,0.014510,0.851718
True,10000,5,-0.067769,-3.691403
True,10000,6,-0.046604,-2.490505
True,10000,7,-0.058740,-2.630716
True,10000,8,-0.069161,-6.131546
True,10000,9,-0.037950,-1.519646
True,10000,10,-0.037906,-1.405566
True,10000,11,0.037322,3.265672
True,10000,12,-0.018947,0.576543
True,10000,13,-0.075345,-3.545138
True,10000,14,-0.095002,-8.159744
True,10000,15,0.132030,3.897659
True,10000,16,0.039227,1.378671
True,10000,17,-0.079816,-6.297272
True,10000,18,0.018468,3.387619
True,10000,19,0.020538,2.675448
S1,10000,0,-0.013663,-1.556506
S1,10000,1,0.087066,4.354502
S1,10000,2,0.047153,1.676953
S1,10000,3,0.067994,7.522433
S1,10000,4,0.030455,2.537786
S1,10000,5,0.005205,-1.938509
S1,10000,6,0.074394,3.675473
S1,10000,7,0.065096,4.059611
S1,10000,8,0.063595,3.999839
S1,10000,9,0.111312,7.656838
S1,10000,10,0.001477,-1.058267
S1,10000,11,0.043820,0.680486
S1,10000,12,0.019379,2.440699
S1,10000,13,0.101033,6.682028
S1,10000,14,0.000654,1.656924
S1,10000,15,0.022355,1.957068
S1,10000,16,0.026617,1.921410
S1,10000,17,-0.004134,-0.066315
S1,10000,18,0.042584,2.480447
S1,10000,19,0.044700,2.619398
True,20000,0,0.060619,4.326605
True,20000,1,0.019969,2.565517
True,20000,2,-0.020600,0.653322
True,20000,3,0.001723,1.964845
True,20000,4,0.002749,2.709995
True,20000,5,-0.050152,-4.111896
True,20000,6,0.013731,4.176008
True,20000,7,-0.001974,3.146941
True,20000,8,-0.010605,-2.230219
True,20000,9,-0.024384,-2.843354
True,20000,10,0.082974,5.695760
True,20000,11,0.046110,6.733663
True,20000,12,0.076671,9.504299
True,20000,13,0.080051,5.808266
True,20000,14,-0.015155,0.347122
True,20000,15,0.030576,3.736326
True,20000,16,-0.028356,-1.638942
True,20000,17,0.050102,6.464014
True,20000,18,0.071666,7.459104
True,20000,19,-0.038694,-0.906064
S1,20000,0,0.035427,2.749573
S1,20000,1,0.119358,13.223659
S1,20000,2,0.022285,2.658842
S1,20000,3,0.024395,3.811447
S1,20000,4,0.052200,5.453955
S1,20000,5,0.035692,5.610434
S1,20000,6,0.025459,4.050456
S1,20000,7,0.070997,4.723004
S1,20000,8,0.071845,6.413981
S1,20000,9,0.077332,5.512919
S1,20000,10,0.034680,2.372241
S1,20000,11,0.078960,9.998155
S1,20000,12,0.013018,1.160799
S1,20000,13,0.036654,4.796804
S1,20000,14,0.090582,9.940555
S1,20000,15,0.065812,6.203830
S1,20000,16,0.074992,8.265246
S1,20000,17,0.042840,5.433874
S1,20000,18,0.046880,3.479225
S1,20000,19,0.070094,5.454461
True,40000,0,0.023707,3.883199
True,40000,1,0.073655,13.616617
True,40000,2,0.027198,6.245518
True,40000,3,0.050059,4.873518
True,40000,4,0.052577,9.690384
True,40000,5,0.073575,8.297159
True,40000,6,0.008756,8.204258
True,40000,7,0.145530,21.176937
True,40000,8,0.099161,10.926775
True,40000,9,0.214948,23.632121
True,40000,10,0.070680,9.489855
True,40000,11,0.110368,16.676616
True,40000,12,0.040335,19.880812
True,40000,13,0.039285,14.222909
True,40000,14,0.106707,12.952397
True,40000,15,0.090960,9.940096
True,40000,16,-0.003451,2.944786
True,40000,17,0.049814,11.281960
True,40000,18,0.074870,8.520440
True,40000,19,0.083139,16.948112
S1,40000,0,0.075292,11.828224
S1,40000,1,0.111906,18.991841
S1,40000,2,0.111016,16.622075
S1,40000,3,0.106338,13.205083
S1,40000,4,0.092326,13.535015
S1,40000,5,0.063756,11.533963
S1,40000,6,0.063620,12.513536
S1,40000,7,0.062505,12.474860
S1,40000,8,0.120921,11.495992
S1,40000,9,0.073741,11.282056
S1,40000,10,0.123172,14.088597
S1,40000,11,0.094840,13.819702
S1,40000,12,0.086842,14.700698
S1,40000,13,0.083462,13.786296
S1,40000,14,0.143290,11.249807
S1,40000,15,0.103073,13.244245
S1,40000,16,0.108441,16.604977
S1,40000,17,0.124409,16.029755
S1,40000,18,0.070060,8.822478
S1,40000,19,0.070661,15.484296
