model,run,spearman_rho
True,0,-0.090607
True,1,-0.035028
True,2,0.056129
True,3,-0.075928
True,4,-0.059283
True,5,-0.104709
True,6,-0.075243
True,7,0.085462
True,8,0.009979
True,9,-0.104506
True,10,0.001074
True,11,-0.065485
True,12,-0.000779
True,13,-0.000981
True,14,-0.020164
True,15,-0.037987
True,16,-0.109883
True,17,-0.034878
True,18,0.076782
True,19,-0.022917
True,20,-0.013851
True,21,0.047269
True,22,0.000274
True,23,-0.070014
True,24,0.086777
True,25,-0.041718
True,26,0.034482
True,27,-0.077225
True,28,-0.086882
True,29,-0.039237
True,30,0.102611
True,31,-0.006485
True,32,-0.075471
True,33,-0.078818
True,34,0.029043
True,35,-0.067958
True,36,-0.068760
True,37,0.099533
True,38,-0.092142
True,39,0.000053
S1,0,0.023061
S1,1,0.040211
S1,2,0.003595
S1,3,0.036595
S1,4,0.012711
S1,5,0.030374
S1,6,0.010793
S1,7,0.073780
S1,8,-0.016488
S1,9,0.062763
S1,10,0.022411
S1,11,0.013919
S1,12,0.062514
S1,13,0.056584
S1,14,0.003737
S1,15,0.043920
S1,16,-0.037556
S1,17,0.014017
S1,18,0.003272
S1,19,-0.032432
S1,20,0.070282
S1,21,0.044619
S1,22,0.043137
S1,23,0.063717
S1,24,0.034400
S1,25,0.004581
S1,26,0.039957
S1,27,-0.014676
S1,28,0.038676
S1,29,0.011859
S1,30,-0.002296
S1,31,-0.003335
S1,32,0.095402
S1,33,-0.000839
S1,34,0.059863
S1,35,0.072827
S1,36,-0.001265
S1,37,0.074123
S1,38,0.037788
S1,39,0.018218
